-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               Optimizer.step#Adam.step        16.72%     128.432ms        42.44%     325.976ms       3.260ms      76.186ms         9.30%     326.880ms       3.269ms           100  
                                               aten::to         6.65%      51.097ms        21.22%     162.945ms      36.154us      61.905ms         7.56%     203.252ms      45.097us          4507  
                                           aten::linear         3.14%      24.136ms        15.37%     118.061ms     196.768us      15.200ms         1.86%     123.904ms     206.507us           600  
                                         aten::_to_copy        13.91%     106.791ms        14.56%     111.848ms      29.426us      85.006ms        10.38%     141.347ms      37.187us          3801  
                                           aten::matmul         3.65%      28.009ms         9.91%      76.114ms     126.857us      23.738ms         2.90%      80.746ms     134.577us           600  
                                             aten::add_         3.14%      24.119ms         9.79%      75.158ms      30.063us      34.985ms         4.27%      96.716ms      38.686us          2500  
                                             aten::mul_         2.66%      20.414ms         9.18%      70.481ms      58.734us      20.688ms         2.53%      81.149ms      67.624us          1200  
       autograd::engine::evaluate_function: MmBackward0         0.63%       4.843ms         8.81%      67.631ms     225.437us       4.844ms         0.59%      69.656ms     232.187us           300  
                                            MmBackward0         2.63%      20.183ms         8.18%      62.788ms     209.293us      12.150ms         1.48%      64.812ms     216.040us           300  
                                                aten::t         3.16%      24.255ms         6.11%      46.919ms      27.599us      26.000ms         3.17%      62.332ms      36.666us          1700  
                                               aten::mm         6.08%      46.689ms         6.08%      46.715ms      42.468us      34.758ms         4.24%      50.863ms      46.239us          1100  
                                              aten::div         1.27%       9.741ms         4.41%      33.895ms      56.492us      10.480ms         1.28%      43.201ms      72.002us           600  
autograd::engine::evaluate_function: torch::autograd...         1.24%       9.523ms         4.37%      33.538ms      55.897us       8.676ms         1.06%      37.984ms      63.307us           600  
                                             aten::mean         0.92%       7.094ms         3.90%      29.989ms     149.945us       7.012ms         0.86%      30.721ms     153.605us           200  
                                              aten::max         2.77%      21.277ms         3.45%      26.466ms     264.660us      19.140ms         2.34%      26.611ms     266.110us           100  
                        torch::autograd::AccumulateGrad         1.70%      13.025ms         3.13%      24.015ms      40.025us      12.739ms         1.56%      29.308ms      48.847us           600  
autograd::engine::evaluate_function: MseLossBackward...         0.23%       1.733ms         3.03%      23.299ms     232.990us       1.473ms         0.18%      25.915ms     259.150us           100  
                                        aten::transpose         2.88%      22.082ms         2.95%      22.664ms      13.332us      25.377ms         3.10%      36.332ms      21.372us          1700  
                                       MseLossBackward0         0.83%       6.352ms         2.81%      21.566ms     215.660us       6.322ms         0.77%      24.442ms     244.420us           100  
                                         aten::mse_loss         0.68%       5.217ms         2.52%      19.344ms     193.440us       3.856ms         0.47%      20.095ms     200.950us           100  
